Name,Hook Type,Instagram URL,Random Hook Generator Number,Schedule Date,Used??
"My (insert person) takes me to the doctor, because I am (insert age) and already (insert action).",STORYTELLING INSPO HOOK,https://www.instagram.com/reel/DF-i8pixfba/,509,,No
The viral (insert noun) hack that landed me in (insert news/magazine outlet).,EDUCATIONAL INSPO HOOK,https://www.instagram.com/reel/CzohD-xx_17/,276,,No
"This is how much (insert dream result) you achieve if you (insert action), and this is how much (insert dream result) if you (insert action) and these # of hacks.",EDUCATIONAL INSPO HOOK,https://www.instagram.com/p/DE8lZdOOLDa/,55,,No
Did you know that there are # types of (insert noun).,EDUCATIONAL INSPO HOOK,https://www.instagram.com/p/DIANQRkyYLb/,480,,No
"It's time to throw away your (insert item), you don’t need it anymore.",MYTH BUSTING INSPO HOOK,https://www.instagram.com/reel/C6qt2B4NKA1/,247,,No
(insert well known person or brand) is trying to get this video removed from the internet because he/she exposes their product for being (insert negative result). Watch this now before it's gone.,MYTH BUSTING INSPO HOOK,https://www.instagram.com/p/DB7OnuqSYBr/,411,,No
If you (insert verb) and (insert action) and it doesn't (insert result) it’s time to (insert action).,EDUCATIONAL INSPO HOOK,https://www.instagram.com/reel/DDxwEtsyLDo/,227,,No
My one goal this year was to showcase just how interesting (insert noun) is.,STORYTELLING INSPO HOOK,https://www.instagram.com/reel/DEDVhdrSfbP/,262,,No
I am on a journey to find the best (insert noun) for (insert target audience) and today we went to (insert location).,STORYTELLING INSPO HOOK,https://www.instagram.com/reel/DF0gUSRPywO/,220,,No
Don't (insert action) until you've done this one thing.,MYTH BUSTING INSPO HOOK,https://www.instagram.com/p/DA0kc0DCM0h/,979,,No
"It all started when this boy/girl, (insert action).",STORYTELLING INSPO HOOK,https://www.instagram.com/p/DC5ioSRMrnS/,775,,No
(Insert noun) is cringe right now but let me tell you what a game changer it was for me.,STORYTELLING INSPO HOOK,https://www.instagram.com/p/DCmBEffyaPC/,976,,No
"Both groups gained the same amount of (insert noun). Expect this grouped (insert action) # days a week, and this group (insert action) #.",COMPARISON INSPO HOOK,https://www.instagram.com/reel/DCRDDUuC1YL/,331,,No
I spent (insert $) on new (insert noun) for my (insert noun).,EDUCATIONAL INSPO HOOK,https://www.instagram.com/p/DGN72MwpsAB/,281,,No
"(Insert last year) (insert noun), (insert current year) (insert noun).",EDUCATIONAL INSPO HOOK,https://www.instagram.com/p/DEDdSAESaFJ/,416,,No
"Hi i’m (insert name) and I am a (insert title), this is my (insert person) and he/she loves (insert noun).",STORYTELLING INSPO HOOK,https://www.instagram.com/reel/DGO2HGtOu-C/,279,,No
"The (insert noun) I (insert action) everyday that took me from this, to this.",AUTHORITY INSPO HOOK,https://www.instagram.com/p/DGxOv7Rp2UE/,147,,No
This girl/boy was in her/his flop era,STORYTELLING INSPO HOOK,https://www.instagram.com/reel/DAOowDot7OB/,471,,No
How to (insert verb) you (insert noun) from a (insert title).,EDUCATIONAL INSPO HOOK,https://www.instagram.com/p/C2zqnBULDa1/,707,,No
(Insert noun) for dummies.,EDUCATIONAL INSPO HOOK,https://www.instagram.com/share/BA6XRL1fXU,925,,No
(insert noun) level 1.,EDUCATIONAL INSPO HOOK,https://www.instagram.com/p/DFvT9fMIoE6/,872,,No
The worst possible thing that can happen to a man/woman is developing (insert result).,EDUCATIONAL INSPO HOOK,https://www.instagram.com/reel/DDfxpOkAk5a/,844,,No
3 levels of (insert noun).,EDUCATIONAL INSPO HOOK,https://www.instagram.com/p/DBt0hSaNxqH/,544,,No
How much do I need to make or buy a (insert price) (insert noun).,EDUCATIONAL INSPO HOOK,https://www.instagram.com/p/DCQFABDNVWG/,841,,No
Welcome back to the journey of how I got (insert result).,STORYTELLING INSPO HOOK,https://www.instagram.com/reel/DFvWgldxb80/,976,,No
Over # of you saw this video.,STORYTELLING INSPO HOOK,https://www.instagram.com/p/DF8rBLCP4SG/,926,,No
"(insert #) (insert noun) I would have this one if I was (insert verb), and I would have this one if I was (insert verb).",COMPARISON INSPO HOOK,https://www.instagram.com/p/DEyUjeIyn-w/,350,,No
"I have to ask, girl, how do you (insert adjective) so good?",EDUCATIONAL INSPO HOOK,https://www.instagram.com/p/DEnNQCEv0S6/,317,,No
Does (insert noun) really kill (insert live thing).,EDUCATIONAL INSPO HOOK,https://www.instagram.com/reel/DCvxgmazwDW/,323,,No
I am going to teach you how to identify a good (insert noun) to a bad (insert noun).,EDUCATIONAL INSPO HOOK,https://www.instagram.com/p/DHWUyptyp9B/,301,,No
I have made a spreadsheet with over (insert large number) of (insert noun).,EDUCATIONAL INSPO HOOK,https://www.instagram.com/p/DIb7EjNxtK4/,167,,No
"I have never met a single person that (insert action), (insert action), (insert action), (insert action), and still has time to (insert dream result).",MYTH BUSTING INSPO HOOK,https://www.instagram.com/p/C84rOEixNKS/,426,,No
"This is (insert person) we have known each other from X years, X days, X hours, X minutes.",STORYTELLING INSPO HOOK,https://www.instagram.com/p/DHyp6wPiRgc/,268,,No
How many (insert nouns) can you make with only (insert $).,EDUCATIONAL INSPO HOOK,https://www.instagram.com/p/DFbJ-1QPOc0/,372,,No
Things that are damaging your (insert noun) without you even realizing it.,EDUCATIONAL INSPO HOOK,https://www.instagram.com/p/DDxIde3vWO7/,790,,No
A lot of people ask me what's better (insert option #1) or (insert option #2) for (insert dream result) I achieved (insert dream result) doing one of these and it's not even close.,COMPARISON INSPO HOOK,https://www.instagram.com/p/DHGn-H-xNeV/,865,,No
"(insert verb) does not mean your (insert adjective), it means your just (insert adjective).",MYTH BUSTING INSPO HOOK,https://www.instagram.com/p/DAw01riSVei/,859,,No
Today I am going to show you have to make the perfect (insert noun) because I went to (insert school) so you don’t have to.,EDUCATIONAL INSPO HOOK,https://www.instagram.com/p/DFMzB5sO4TF/,155,,No
If you can't do (insert action).,EDUCATIONAL INSPO HOOK,https://www.instagram.com/p/DC7SzidSNOX/,892,,No
I was walking past this (insert store) when I say they had (insert noun).,STORYTELLING INSPO HOOK,https://www.instagram.com/reel/DGwAia_yWQT/,453,,No
"People always ask me (insert name) (insert fact) (insert question) well, let’s find out.",EDUCATIONAL INSPO HOOK,https://www.instagram.com/reel/DDkR4liv0sV/,95,,No
"2 years, no (insert noun), and today’s the first time I get to use (insert noun).",STORYTELLING INSPO HOOK,https://www.instagram.com/reel/DHlvQJEpYK1/,704,,No
The easiest way to keep you (insert noun) (insert adjective) is to pretend...,EDUCATIONAL INSPO HOOK,https://www.instagram.com/p/DDP6BaYxh8v/,767,,No
Listen if you’re not forcing your (insert person/persons) to (insert action) in their (insert current state) don’t expect them to be (insert trait) in their (insert after state).,EDUCATIONAL INSPO HOOK,https://www.instagram.com/p/DHQ-medJYC2/,572,,No
"If I told you, you would (insert result) form (insert action) you would probably believe me right? Well here’s the thing...",EDUCATIONAL INSPO HOOK,https://www.instagram.com/p/DDfdDshTsXK/,502,,No
Remember (insert #) (insert noun) combo for you next (insert noun).,EDUCATIONAL INSPO HOOK,https://www.instagram.com/reel/C3nW4P4L_xf/,92,,No
"Believe it or not, this simple device can prevent (insert pain point), (insert pain point), and (insert pain point).",EDUCATIONAL INSPO HOOK,https://www.instagram.com/reel/C9QruINS4JX/,125,,No
I got a (insert noun) and it did not turn out to be what I expected.,STORYTELLING INSPO HOOK,https://www.instagram.com/reel/DHCVNTcy1NM/,739,,No
Is it possible to (insert dream result) while (insert action) in X days,STORYTELLING INSPO HOOK,https://www.instagram.com/reel/DEgmPM_yqsz/,630,,No
So I did (insert action) last week.,STORYTELLING INSPO HOOK,https://www.instagram.com/share/BAIu4m7QIH,450,,No
Don't touch this.,EDUCATIONAL INSPO HOOK,https://www.instagram.com/p/DAMZdJhRaKj/,807,,No
"Did you know that this, this, and this target (insert dream result).",EDUCATIONAL INSPO HOOK,https://www.instagram.com/p/DFk6dhNykvl/,156,,No
"If I can’t do it in one step, I am not doing it. This is the #1 most efficient way to (insert verb) (insert noun).",EDUCATIONAL INSPO HOOK,https://www.instagram.com/reel/DCK537Ry9-c/,172,,No
I grew about # (insert metric) in the past year at (insert age) by fixing my (insert condition) and (insert condition).,EDUCATIONAL INSPO HOOK,https://www.instagram.com/reel/DEjBuqtxzZU/,257,,No
This might be the coolest DIY I have ever made.,STORYTELLING INSPO HOOK,https://www.instagram.com/reel/DGJDrxePydv/,55,,No
"If you like these (insert job title), you'll probably like my (insert work).",RANDOM INSPO HOOK,https://www.instagram.com/p/C-S-AL0tIoy/,673,,No
I built this (insert noun) for (insert $).,EDUCATIONAL INSPO HOOK,https://www.instagram.com/reel/DDANx1BxN_O/,907,,No
Your (insert noun) is to (insert adjective) and (insert adjective). Here are # of (insert noun) to (insert result).,EDUCATIONAL INSPO HOOK,https://www.instagram.com/reel/DEKxvNauJNa/,916,,No
How to take better (insert noun).,EDUCATIONAL INSPO HOOK,https://www.instagram.com/reel/DFLP70LKvi1/,256,,No
How long does it take to complete the impossible mile.,EDUCATIONAL INSPO HOOK,https://www.instagram.com/reel/DEtSZ28PQi1/,871,,No
Here’s why I never use a (insert noun).,EDUCATIONAL INSPO HOOK,https://www.instagram.com/reel/DDK76uDzcV2/,742,,No
Let me de-influence you from (insert action).,MYTH BUSTING INSPO HOOK,https://www.instagram.com/reel/DEXaRPkOSjV/,214,,No
"I have something to address, over the last week I have gained (insert #) of followers.",STORYTELLING INSPO HOOK,https://www.instagram.com/reel/DEz23JVpGgE/,117,,No
"When we first moved to the (insert location), my (insert person) bought a (insert noun) in (insert location).",STORYTELLING INSPO HOOK,https://www.instagram.com/reel/DINcg69x3zC/,638,,No
Remember (insert method/strategy name) for you next (insert noun).,EDUCATIONAL INSPO HOOK,https://www.instagram.com/reel/C6a9V7vuein/,207,,No
For the price of this many (insert noun) at the (insert place/store/restaurant) you could make this many at home.,MYTH BUSTING INSPO HOOK,https://www.instagram.com/p/DCKUo2tSsBe/,503,,No
I am going to show you how to (insert verb) your (insert noun) so they don’t (insert pain point).,EDUCATIONAL INSPO HOOK,https://www.instagram.com/reel/DGWHu_rSbku/,508,,No
I said it before and I am going to say it again (insert mind blowing fact).,MYTH BUSTING INSPO HOOK,https://www.instagram.com/p/DDFJKmqozH6/,821,,No
A fun fact about my (insert person) (insert name) is.,STORYTELLING INSPO HOOK,https://www.instagram.com/p/DIXslTXRPiZ/,715,,No
This is what you would (insert verb) for (insert person) if you weren't terrified to talk to them.,EDUCATIONAL INSPO HOOK,https://www.instagram.com/p/C8FTNDKualt/,547,,No
"They said, “(insert famous cliché or quote)” That's a lie.",MYTH BUSTING INSPO HOOK,https://www.instagram.com/reel/DDmm7AXxKLa/,895,,No
I baited this (insert google rating) (insert title) with this (insert noun) in excellent condition to see if they would rip me off.,STORYTELLING INSPO HOOK,https://www.instagram.com/reel/DDLA77-SKTM/,411,,No
"Did you know that this, this, this, and this get (insert dream result).",EDUCATIONAL INSPO HOOK,https://www.instagram.com/share/BAExbVPhak,351,,No
I went from this to this.,AUTHORITY INSPO HOOK,https://www.instagram.com/p/DFIU9b7OS2h/,560,,No
Here are # human foods that can kill your (insert living thing).,EDUCATIONAL INSPO HOOK,https://www.instagram.com/reel/DDZ30LXs9oL/,176,,No
Day # of turning from (insert before state) to (insert after state) and suddenly I don't want to be (insert after state) anymore.,DAY IN THE LIFE INSPO HOOK,https://www.instagram.com/p/DIfVFI6P_3Z/,925,,No
"If I get this in, then I have to (insert verb).",RANDOM INSPO HOOK,https://www.instagram.com/p/DIIB3xdThFN/,60,"February 16, 2026",No
"If you're an (insert title) you should be able to do this, this, and this. If you can't I got you, just do this # step/routine/program to (insert dream result).",EDUCATIONAL INSPO HOOK,https://www.instagram.com/reel/DDo0rP9o4Yl/,647,,No
X days/months/years I (insert big risk),STORYTELLING INSPO HOOK,https://www.instagram.com/p/C_ZVKRfSMm_/,639,,No
This is every single (insert noun) in my collection.,EDUCATIONAL INSPO HOOK,https://www.instagram.com/reel/DEaUlTYI47b/,22,,No
"(insert noun) used to have (insert trait), now they don’t.",EDUCATIONAL INSPO HOOK,https://www.instagram.com/reel/C5rJryFoZZH/,448,,No
So you want to impress you (insert person) when you (insert action) this (insert upcoming time).,EDUCATIONAL INSPO HOOK,https://www.instagram.com/reel/DI2FmNmK-AN/,992,,No
"My parents had # sons/daughters/kids thiers me, my (insert person), and (insert person).",STORYTELLING INSPO HOOK,https://www.instagram.com/reel/DHIm7I7TAOU/,384,,No
"If you see (insert symptom), (insert symptom) especially on a (insert type of noun) you better worry about what’s called (insert name).",EDUCATIONAL INSPO HOOK,https://www.instagram.com/reel/DCkmbAcx2zN/,74,,No
"I am attempting to be the first person to (insert goal), day #.",STORYTELLING INSPO HOOK,https://www.instagram.com/reel/DB0ogikvRjL/,14,,No
Some people call it a problem but I call it (insert noun) genius.,STORYTELLING INSPO HOOK,https://www.instagram.com/reel/DGQvN_dJ5cK/,809,,No
"If you want to (insert dream result), (insert action) is the worst thing you can do.",EDUCATIONAL INSPO HOOK,https://www.instagram.com/reel/DFGOcEtIjFv/,881,,No
Yesterday I (insert action) in (insert hours) and (insert minutes).,STORYTELLING INSPO HOOK,https://www.instagram.com/p/DJAIpU1N7b0/,743,,No
After over a decade of (insert action) here is what I wish someone would have told me from the start.,EDUCATIONAL INSPO HOOK,https://www.instagram.com/reel/DImQ3laRb30/,368,,No
My (insert before state) used to look like this and now they look like this.,AUTHORITY INSPO HOOK,https://www.instagram.com/reel/DE7cjKBNcY4/,701,,No
"You don't have (insert pain point), your not (insert adjective), your not (insert adjective) you just need to (insert solution) and I am going to tell you how to do it.",EDUCATIONAL INSPO HOOK,https://www.instagram.com/p/DHSIRSHJuWc/,686,,No
This is what your (insert noun) looks like when you don’t take (insert noun). And this is what your (insert noun) looks like when you take (insert noun).,COMPARISON INSPO HOOK,https://www.instagram.com/reel/DIn291GI4Fa/,218,,No
"What happens when you (insert action), (insert action), (insert action), etc.",STORYTELLING INSPO HOOK,https://www.instagram.com/p/DCo8e3Xi-di/,120,,No
You cannot be (insert dream result) before you enter (insert age group).,MYTH BUSTING INSPO HOOK,https://www.instagram.com/p/DBROBQTK9De/,664,,No
Can you (insert dream result) after (insert shortcut).,STORYTELLING INSPO HOOK,https://www.instagram.com/reel/C6uGU4xxKV_/,648,,No
"Stop wearing (insert noun), it really is just like wearing (insert analogy to represent damage).",EDUCATIONAL INSPO HOOK,https://www.instagram.com/reel/DGD75qfOv40/,801,,No
There is a man/woman that comments on every single video I upload.,STORYTELLING INSPO HOOK,https://www.instagram.com/reel/DGc_8U7i-yF/,537,,No
My house has this weird (insert trait) and it’s haunted me ever since I first toured.,STORYTELLING INSPO HOOK,https://www.instagram.com/p/DI38P5ANOa1/,860,,No
I paid (insert $) to build my own dream home and pool as an (insert title). Here is the complete cost breakdown.,EDUCATIONAL INSPO HOOK,https://www.instagram.com/reel/C_J2pr9uWut/,682,,No
"I teach (insert noun) to people like they are in kindergarten, and it's time for class.",EDUCATIONAL INSPO HOOK,https://www.instagram.com/p/C-k_-Yev6DU/,103,,No
I damaged a customer's property and here’s how I handled it.,STORYTELLING INSPO HOOK,https://www.instagram.com/reel/DI8xeTdOCGp/,76,,No
It's okay f you mom didn't talk to you about,EDUCATIONAL INSPO HOOK,https://www.instagram.com/p/DCJwFyKvi03/,36,,No
X days/weeks/months/years ago I purchased (insert price) (insert noun) as a (insert label) with only a (insert price) deposit.,STORYTELLING INSPO HOOK,https://www.instagram.com/p/DHatudoNK8S/,942,,No
Want to find out what’s hiding inside one of these (insert noun) when they are not properly maintenanced?,EDUCATIONAL INSPO HOOK,https://www.instagram.com/reel/DD3L0x_yzh5/,566,,No
"Man this, (insert noun) in (insert location) is trash. Maybe I should just get this cheap (insert noun). Yeah I wouldn't do that if I were you.",EDUCATIONAL INSPO HOOK,https://www.instagram.com/reel/DE0C6tWPrdA/,398,,No
I became a (insert achievement) at (insert age) and if I could give you X pieces of advice it would be...,AUTHORITY INSPO HOOK,https://www.tiktok.com/t/ZT2MLXA1Y/,909,,No
"I have been (insert title) for (insert time) now, and I have gained (insert #) of followers just by sharing (insert content type).",STORYTELLING INSPO HOOK,https://www.instagram.com/reel/DESlFyRSaeC/,706,,No
Money can buy you (insert item) but it can not buy you (insert result).,EDUCATIONAL INSPO HOOK,https://www.instagram.com/p/DBkvHncxD2t/,950,,No
This is what it would (insert adjective) like if (insert number) of (insert noun) were in one (insert noun).,EDUCATIONAL INSPO HOOK,https://www.instagram.com/p/DICZf5jBuNh/,104,,No
"Did you know that if you (insert action, (Insert action), (insert action), etc.",EDUCATIONAL INSPO HOOK,https://www.instagram.com/p/C-Alb5KsBwA/,476,,No
(insert year) - I think I am going to (insert goal).,STORYTELLING INSPO HOOK,https://www.instagram.com/p/DDP5UpoR9Sl/,231,,No
"Welcome back to day #, where I (insert verb) a (insert noun) everyday until I am (insert adjective)",STORYTELLING INSPO HOOK,https://www.instagram.com/p/DFGbEQTziGB/,550,,No
After X years of (insert action/or habit) I stopped/started (insert action/or habit),STORYTELLING INSPO HOOK,https://www.instagram.com/reel/DEJiasASTVx/,898,,No
Let’s make (insert #) (insert noun).,STORYTELLING INSPO HOOK,https://www.instagram.com/p/DFRdOhxMQ9H/,411,,No
I started (insert business) at (age/life event) and I had no idea I would (insert result/outcome),STORYTELLING INSPO HOOK,https://www.instagram.com/reel/C_oKE1BJZnw/,167,,No
Strange (insert noun) behaviors explained.,EDUCATIONAL INSPO HOOK,https://www.instagram.com/reel/DF3E-zSuGCe/,743,,No
How to turn just one (insert noun) into a lifetime of free (insert noun).,EDUCATIONAL INSPO HOOK,https://www.instagram.com/p/DIEbK1dSZJ2/,207,,No
"(insert big brand) didn't want to sponsor this video, let me show you what they're missing out on.",RANDOM INSPO HOOK,https://www.instagram.com/p/DAlofevvKBf/,198,,No
This is why doing (insert action) makes you (insert pain point).,MYTH BUSTING INSPO HOOK,https://www.instagram.com/p/C8BpxhQNKCj/,687,,No
I'm (insert action) in (insert time) and I just (insert action).,STORYTELLING INSPO HOOK,https://www.instagram.com/p/DFf7WpdREbp/,695,,No
Here’s every (insert noun) that you actually need to know.,EDUCATIONAL INSPO HOOK,https://www.instagram.com/p/DBhdAc3RY-X/,974,,No
If you're wanting to transfer your (insert noun) from this into (insert noun).,EDUCATIONAL INSPO HOOK,https://www.instagram.com/p/DEAzDZxS0EH/,876,,No
This is a day in the life of a (insert title) (insert noun) edition.,DAY IN THE LIFE INSPO HOOK,https://www.instagram.com/p/DFn2OKuzc7i/,452,,No
X days/months/years I started (insert action) thinking it would magically solve (insert pain point) but here is what ended up happening,STORYTELLING INSPO HOOK,https://www.instagram.com/reel/DDY83YuSJ-9/,818,,No
"This is me when I (insert action) (insert frequency), and this is me still (insert action) (insert frequency).",MYTH BUSTING INSPO HOOK,https://www.instagram.com/p/DAmA1Wnqh4X/,710,,No
If I were to create a (insert noun) today this is how I would do it.,AUTHORITY INSPO HOOK,https://www.instagram.com/p/DCephvLiQuW/,254,,No
"For this (insert noun), you could have this whole (insert noun).",COMPARISON INSPO HOOK,https://www.instagram.com/noahperlofit/reel/C3dwIEGxeB0/,445,,No
This is me after (insert action) in the (insert location) with (insert condition). And this is me just (insert action) in the middle of (insert location).,COMPARISON INSPO HOOK,https://www.instagram.com/reel/DDNgWJliAUR/,666,,No
"Did you know you could take a (insert noun) like this, and quick (insert action).",EDUCATIONAL INSPO HOOK,https://www.instagram.com/reel/DHV1A68Rl1I/,333,,No
"If you keep failing your (insert noun), just figure out where you're failing it.",EDUCATIONAL INSPO HOOK,https://www.instagram.com/reel/DCUAbdBB_k_/,135,,No
This week I tried to see if I could (insert result) for all of my (insert noun) just by (insert action) the night before.,STORYTELLING INSPO HOOK,https://www.instagram.com/reel/DEIFRU_vg3e/,320,,No
(insert noun) for all the (insert condition) guys/girls out there.,EDUCATIONAL INSPO HOOK,https://www.instagram.com/reel/DIj9O4Az5GC/,955,,No
"(Insert person), (Insert person), or that one (Insert person) we just don’t have (insert title) like we did back then.",STORYTELLING INSPO HOOK,https://www.instagram.com/p/DG24V2LOxBj/,442,,No
This is the ultimate master trick to (insert result) in just # minutes.,EDUCATIONAL INSPO HOOK,https://www.instagram.com/reel/DHB1amjNDLk/,826,,No
Have you ever thought about starting your own (insert business)?,STORYTELLING INSPO HOOK,https://www.instagram.com/reel/DG4fj2xxD5n/,425,,No
"When I (insert action), people said (insert feedback).",STORYTELLING INSPO HOOK,https://www.instagram.com/reel/DEj-ntbyxb_/,796,,No
I got (insert dream result) on all of my (insert noun) with minimal (insert action) and here's how.,AUTHORITY INSPO HOOK,https://www.instagram.com/p/C6G56RQrf9N/,929,,No
Welcome back to the day in the life of two (insert label) trying to build the next (insert business).,DAY IN THE LIFE INSPO HOOK,https://www.instagram.com/p/DEnSkHQJwIx/,475,,No
Your life is boring because you don’t (insert action).,MYTH BUSTING INSPO HOOK,https://www.instagram.com/reel/DFAr9dPA4F4/,23,,No
Nobody believes me if I say I went from this to this.,AUTHORITY INSPO HOOK,https://www.instagram.com/p/DIL_hAYIF-z/,51,,No
A competitor showed up at my job trying to get me fired.,STORYTELLING INSPO HOOK,https://www.instagram.com/reel/DCAp43wtIxP/,614,,No
What if I told you this (insert item) could (insert result).,EDUCATIONAL INSPO HOOK,https://www.instagram.com/p/DChgwnJyE3b/,41,,No
(insert noun) can be reversed so let’s talk about # things you can do to improve your (insert noun).,EDUCATIONAL INSPO HOOK,https://www.instagram.com/p/DG9UDAUShLs/,56,,No
Here are # of questions I ask before (insert verb).,EDUCATIONAL INSPO HOOK,https://www.instagram.com/p/DFnkbJcPxqc/,645,,No
This is day # of making fake (insert noun) for our dream clients until one of them starts working with us.,STORYTELLING INSPO HOOK,https://www.instagram.com/p/DB587F_NYOD/,842,,No
Is it possible to (insert action) while (insert action) in X days.,STORYTELLING INSPO HOOK,https://www.instagram.com/reel/DEgmPM_yqsz/,312,"February 16, 2026",Yes
I don’t really show the (insert noun) a lot of love because I don’t like (insert action) but today I am going to show you (insert action).,EDUCATIONAL INSPO HOOK,https://www.instagram.com/reel/DExHLTotGlt/,386,,No
I lied to the (insert person) who (insert action).,STORYTELLING INSPO HOOK,https://www.instagram.com/p/DExR-xeiVfp/,279,,No
Take your (insert noun) from this to this.,EDUCATIONAL INSPO HOOK,https://www.instagram.com/p/DHl84zXOnWK/,300,,No
